Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Work/Career Development,,,New opportunity,You are at work and find out that an opportunity for promotion in your department just came up. You think you might be eligible and decide to ask your boss for more details. Your boss tells you that the selection criteria are very strict and that your application will likely be rejected.,"The next day, you bump into your boss in the corridor. You then realize that although your boss thinks you may not be ready for promotion just yet, they strongly believe you are capable of being ready for one next year and are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because ...,You will be ready for one next year.,You will never be capable.,./images/New_opportunity.jpeg,1
Work/Career Development,,,Group Project Due,"You are working on a very important team project. The project deadline is soon, and your colleagues still haven't completed their portion, and you wonder if you should complete their part. You reach out to them, conveying your concerns about the deadline and workload, and they begin working in a timely manner.",N/A,Your colleagues are likely...,Grateful that you politely communicated your concerns over their contribution. ,Annoyed that you're telling them what to do. ,./images/Group_Project_Due.jpeg,1
Work/Career Development,,,Mistakes while working,"Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is secure.",N/A,"In the upcoming weeks at work, you will probably ...",Learn new skills. ,Lose your job. ,./images/Mistakes_while_working.jpeg,1
Work/Career Development,,,Deleted section,"You recently turned in a big project at work.  You decide to re-read your submitted work, and realize that you accidentally deleted a section you meant to include. Given that you accidentally made this deletion, you think that you are likely to receive positive feedback.",N/A,Are you going to get positive feedback on your project?,Yes,No,./images/Deleted_section.jpeg,1
Work/Career Development,,,Public speaking,"You are about to give a presentation to your supervisor and coworkers. The material in the presentation has come from the research you have done in your job. During the presentation, you feel that your supervisor and coworkers will think you seem smart.",N/A,Will others think you seem intelligent when presenting?,Yes,No,./images/Public_speaking.jpeg,1
Work/Career Development,,,Certainty of being correct,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,Yes,./images/Certainty_of_being_correct.jpeg,1
Work/Career Development,Social Situations,,An engaged audience,"You are required to give a presentation to a group of work colleagues that you know well. They all are quiet during your presentation. As you think about it later at home, you think that your colleagues found your presentation interesting.",N/A,Your cohort members were probably quiet because ...,They were engaged by your presentation.,They were bored by your presentation.,./images/An_engaged_audience.jpeg,1
Work/Career Development,,,Writing opinions,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be positive.",N/A,Your supervisor probably found you to be...,Capable,Incapable,./images/Writing_opinions.jpeg,1
Work/Career Development,Social Situations,,Showcasing your experience,"Your supervisor calls a meeting tied to a new initiative and asks each of you in turn to present your ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded silly.",N/A,Your supervisor probably found you to be ...,Unprepared and lacking. ,Effective,./images/Showcasing_your_experience.jpeg,1
Work/Career Development,Social Situations,,Feedback on your work,"You recently turned in a report, and your boss asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through, and they look at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback and that they see this as a way to provide you with a valuable learning opportunity.",Your boss probably thinks that ...,You have great potential.,You are incapable.,./images/Feedback_on_your_work.jpeg,1
Work/Career Development,Social Situations,,Important evaluation,You have almost completed an important project. Part of your evaluation is determined by your coworkers. You know most of them well and feel that their opinions of you will make them evaluate you favorably.,N/A,Your coworkers will probably...,Give you a good score.,Give you a bad score.,./images/Important_evaluation.jpeg,1
Work/Career Development,,,Interview anticipation,"You are being interviewed for a leadership position within your department. Before you walk into the room, you notice you feel shaky. You feel incredibly excited.",N/A,Does feeling shaky frighten you?,No,Yes,./images/Interview_anticipation.jpeg,1
Work/Career Development,,,Writing opinions,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be negative.",N/A,Your supervisor probably found you to be...,Incapable,Capable,./images/Writing_opinions.jpeg,1
Work/Career Development,,,A lengthy read,"You have been assigned a task, and you try very hard to make sure it is thorough. The job is quite difficult. When your supervisor sees it, you think they will judge your efforts as suitable.",N/A,Will your supervisor judge your efforts as reasonable?,Yes,No,./images/A_lengthy_read.jpeg,1
Work/Career Development,Social Situations,,Bad rumor,"You heard a rumor your supervisor is planning on firing someone in your position. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability of you getting demoted is minimal.",N/A,You think that your supervisor could be ...,Planning to fire someone else.,Planning to fire you.,./images/Bad_rumor.jpeg,1
Work/Career Development,,,An interview panel,"You are the third and final candidate to be interviewed for a job. The interview panel greets you as you walk into the conference room. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,Yes,./images/An_interview_panel.jpeg,1
Work/Career Development,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably ...",Find a new job that you enjoy. ,Be unable to support yourself. ,./images/Future_limitations.jpeg,1
Work/Career Development,Social Situations,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,./images/A_sudden_stumble.jpeg,1
Work/Career Development,Social Situations,,Quick task completion,"You have started working on a new committee with other staff, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to the rest of the committee, who find only one mistake in your work. As the meeting ends, you expect they think your work is commendable.",N/A,Was the committee pleased with your work?,Yes,No,./images/Quick_task_completion.jpeg,1
Work/Career Development,Social Situations,,Correction,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,No,./images/Correction.jpeg,1
Work/Career Development,Social Situations,,Word stumbling,"You have to make a presentation about your work to your colleagues and your boss. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,No,./images/Word_stumbling.jpeg,1
Work/Career Development,Social Situations,,Contributing to a discussion,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably ...,Support your ideas.,Dislike your ideas. ,./images/Contributing_to_a_discussion.jpeg,1
Work/Career Development,Social Situations,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,No,./images/A_night_off.jpeg,1
Work/Career Development,,,Unstable WiFi,"You don't have stable internet access at home and you found out the job you're applying for is remote. You wonder how you'll be able to keep up with your work if you get the job. As you think about the situation, you feel stressed.",N/A,Are you worried about applying to the remote job? ,Yes,No,./images/Unstable_WiFi.jpeg,1
Work/Career Development,Social Situations,,Optional presentation,"Your boss has hired a few interns for the summer. Your boss asks you to stay after work to give them a brief presentation about the university's goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,No,./images/Optional_presentation.jpeg,1
Work/Career Development,Social Situations,,Writing workshop,"A coworker suggests that your team participates in a workshop on writing for the workplace. You go online and read information about the workshop. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic",N/A,Do you expect to feel uncomfortable if others look at your work?,No,Yes,./images/Writing_workshop.jpeg,1
Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. On the morning of the talk, you feel nervous, and you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,No,./images/Nerve-wracking_presentation.jpeg,1
Work/Career Development,Social Situations,,A small presentation,"You are working on a project you enjoy. However, you were just informed that during the next staff meeting you will have to give a five-minute oral presentation to the rest of the staff. On the evening before the presentation, you feel frightened about the idea of public speaking, and you decide your fear is tolerable.",N/A,Can you handle your fear of giving the oral presentation?,Yes,No,./images/A_small_presentation.jpeg,1
Work/Career Development,Social Situations,,Brief call,"You are in a meeting, and during a brief break, you call home to speak to your significant other. You are late getting back into the meeting room, so everyone looks up when you open the door. Others see your actions as disruptive.",After the meeting you realize that the other students were probably just surprised that the door suddenly opened. Chances are they think that your opening and closing the door quietly means you are considerate.,Did people think your returning to the meeting late was rude?,No,Yes,./images/Brief_call.jpeg,1
Work/Career Development,Social Situations,,Giving a speech,"You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.",Does your boss’s neutral expression mean that they are disappointed with your speech?,No,Yes,./images/Giving_a_speech.jpeg,1
Work/Career Development,,,Child Check-In,"You are babysitting, and the child is outside playing with friends. You look out the window to check on them, and they are not there. The child is probably fine.",N/A,Is the child okay?,Yes,No,./images/Child_Check-In.jpeg,2
Work/Career Development,Finances,,Job Market,"You recently saw on the news that the economy has been particularly bad. Even though your boss typically gives you good reviews, you wonder whether your job is safe. You think you will likely be fine.",N/A,Is it likely that you will be fired?,No,Yes,./images/Job_Market.jpeg,2
Work/Career Development,Mental Health,,Evaluation results,"The window for staff evaluations just closed, and you are not sure whether you did well or not. You feel nervous as you think about how other people graded you. You think being nervous is manageable.",N/A,Can you tolerate your nervousness as you wait to find out your evaluation?,Yes,No,./images/Evaluation_results.jpeg,2
Work/Career Development,Social Situations,,Stuttering in office ,"You are having a conversation with your supervisor in their office. You notice that you are stuttering over your words a bit more than you normally do. As the conversation continues, you decide this is okay.",N/A,Are you embarrassed due to stuttering over your words?,No,Yes,./images/Stuttering_in_office.jpeg,2
Work/Career Development,Social Situations,,Train of thought,"You are giving a presentation at work. During one of your slides, you lose your train of thought and have to take a moment to look over your notes. As you start again, you think that losing one's train of thought while presenting is normal.",N/A,Is it normal to lose your train of thought while presenting?,Yes,No,./images/Train_of_thought.jpeg,2
